"lclsSystm3Cd","lclsSystm3Nm","parent_lclsSystm2Cd"
HS030200,기독교,HS03
HS030300,이슬람,HS03
HS030400,기타 종교성지,HS03
VE090100,한국문화원,VE09
VE090200,외국문화원,VE09
VE090300,도서관,VE09
VE090400,문화전수시설,VE09
VE090500,어학당,VE09
VE090600,학교,VE09
C01160001,캠핑코스,C0116
VE010100,건물,VE01
VE010200,타워 / 전망대,VE01
VE010300,다리 / 대교,VE01
VE010400,분수,VE01
VE010500,동상,VE01
VE010600,터널,VE01
VE010700,댐,VE01
VE010800,등대,VE01
VE010900,기타 건축/조형물,VE01
SH030100,대형마트,SH03
VE020100,테마파크,VE02
VE020200,워터파크,VE02
VE020300,동물원,VE02
VE020400,수족관 / 아쿠라리움,VE02
VE020500,천문대,VE02
HS040100,안보유적지,HS04
HS040200,안보관광시설,HS04
HS040300,북한관광지,HS04
HS040400,기타안보관광지,HS04
FD020100,중식,FD02
FD020200,일식,FD02
FD020300,서양식,FD02
FD020400,기타외국식,FD02
FD020500,퓨전음식,FD02
AC060100,유스호스텔,AC06
AC060200,게스트하우스,AC06
AC030100,펜션,AC03
AC030200,한옥스테이,AC03
AC030300,농어촌민박,AC03
AC030400,홈스테이,AC03
